,glom,id,weight,cell.type,connectivity.type,dataset,index,cell_name
76,DA2,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
77,DA3,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
78,DA4l,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
79,DA4m,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
80,DC1,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
81,DC2,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
82,DC3,1149437,0.131578947,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
83,DC4,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
84,DL1,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
85,DL2d,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
86,DL2v,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
87,DL3,1149437,0.026315789,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
88,DL4,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
89,DL5,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
90,DM1,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
91,DM2,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
92,DM3,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
93,DM4,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
94,DM5,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
95,DM6,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
96,DP1l,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
97,DP1m,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
98,V,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
99,VA1d,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
100,VA1v,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
101,VA2,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
102,VA3,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
103,VA4,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
104,VA5,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
105,VA6,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
106,VA7l,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
107,VA7m,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
108,VC1,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
109,VC2,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
110,VC3,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
111,VC4,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
112,VC5,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
121,VL1,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
122,VL2a,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
123,VL2p,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
124,VM1,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
125,VM2,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
126,VM3,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
127,VM4,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
128,VM5d,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
129,VM5v,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
130,VM6,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
131,VM7d,1149437,0.210526316,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
132,VM7v,1149437,0.026315789,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
133,VP1d,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
134,VP1l,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
135,VP1m,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
136,VP2,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
137,VP3,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
138,VP5,1149437,0,aSP-g2,aSP-g2,FAFB,1,aSP-g2_1
147,D,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
148,DA1,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
149,DA2,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
150,DA3,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
151,DA4l,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
152,DA4m,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
153,DC1,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
154,DC2,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
155,DC3,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
156,DC4,11519370,0.02739726,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
157,DL1,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
158,DL2d,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
159,DL2v,11519370,0.006849315,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
160,DL3,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
161,DL4,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
162,DL5,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
163,DM1,11519370,0.294520548,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
164,DM2,11519370,0.095890411,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
165,DM3,11519370,0.061643836,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
166,DM4,11519370,0.212328767,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
167,DM5,11519370,0.006849315,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
168,DM6,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
169,DP1l,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
170,DP1m,11519370,0.150684932,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
171,V,11519370,0.006849315,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
172,VA1d,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
173,VA1v,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
174,VA2,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
175,VA3,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
176,VA4,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
177,VA5,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
178,VA6,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
179,VA7l,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
180,VA7m,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
181,VC1,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
182,VC2,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
183,VC3,11519370,0.01369863,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
184,VC4,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
185,VC5,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
194,VL1,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
195,VL2a,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
196,VL2p,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
197,VM1,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
198,VM2,11519370,0.02739726,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
199,VM3,11519370,0.006849315,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
200,VM4,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
201,VM5d,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
202,VM5v,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
203,VM6,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
204,VM7d,11519370,0.01369863,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
205,VM7v,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
206,VP1d,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
207,VP1l,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
208,VP1m,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
209,VP2,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
210,VP3,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
211,VP5,11519370,0,LHAD1a1,LHAD1a1,FAFB,1,LHAD1a1_1
220,D,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
221,DA1,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
222,DA2,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
223,DA3,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
224,DA4l,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
225,DA4m,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
226,DC1,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
227,DC2,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
228,DC3,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
229,DC4,11522498,0.003021148,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
230,DL1,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
231,DL2d,11522498,0.003021148,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
232,DL2v,11522498,0.024169184,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
233,DL3,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
234,DL4,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
235,DL5,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
236,DM1,11522498,0.087613293,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
237,DM2,11522498,0.01510574,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
238,DM3,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
239,DM4,11522498,0.102719033,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
240,DM5,11522498,0.018126888,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
241,DM6,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
242,DP1l,11522498,0.099697885,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
243,DP1m,11522498,0.13897281,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
244,V,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
245,VA1d,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
246,VA1v,11522498,0.03021148,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
247,VA2,11522498,0.099697885,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
248,VA3,11522498,0.033232628,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
249,VA4,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
250,VA5,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
251,VA6,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
252,VA7l,11522498,0.006042296,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
253,VA7m,11522498,0.009063444,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
254,VC1,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
255,VC2,11522498,0.009063444,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
256,VC3,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
